timestamp_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x,gyro_y,gyro_z
28129445,-9.816226806640625,-0.1149216796875,0.229843359375,152,-76,10
28129455,-9.86411083984375,-0.028730419921875,0.201112939453125,152,-75,11
28129465,-9.787496386718749,-0.06703764648437499,0.2059013427734375,152,-75,11
28129475,-9.82580361328125,-0.06703764648437499,0.239420166015625,153,-75,11
28129485,-9.811438403320311,-0.06703764648437499,0.229843359375,152,-75,11
28129495,-9.82580361328125,-0.062249243164062495,0.17238251953125,153,-75,11
28129505,-9.787496386718749,-0.1005564697265625,0.26815058593749996,153,-75,11
28129515,-9.840168823242188,-0.047884033203124995,0.181959326171875,153,-76,10
28129525,-9.811438403320311,-0.0718260498046875,0.2154781494140625,153,-75,10
28129535,-9.82580361328125,-0.086191259765625,0.2537853759765625,153,-76,11
28129545,-9.797073193359374,-0.0383072265625,0.24899697265624998,152,-75,11
28129555,-9.8449572265625,-0.05746083984375,0.1771709228515625,153,-75,10
28129565,-9.8449572265625,-0.0909796630859375,0.2442085693359375,153,-75,10
28129575,-9.730035546875,-0.0909796630859375,0.2059013427734375,153,-75,11
28129585,-9.80665,-0.08140285644531249,0.258573779296875,153,-75,10
28129595,-9.849745629882811,-0.105344873046875,0.201112939453125,153,-76,10
28129605,-9.797073193359374,-0.062249243164062495,0.1580173095703125,152,-76,11
28129615,-9.82580361328125,-0.062249243164062495,0.2537853759765625,153,-75,11
28129625,-9.816226806640625,-0.05746083984375,0.2346317626953125,153,-75,10
28129635,-9.811438403320311,-0.06703764648437499,0.2346317626953125,152,-75,10
28129645,-9.734823950195311,-0.076614453125,0.2442085693359375,153,-75,10
28129655,-9.80665,-0.086191259765625,0.1867477294921875,153,-75,11
28129665,-9.86411083984375,-0.0383072265625,0.1484405029296875,152,-75,11
28129675,-9.801861596679688,-0.1149216796875,0.201112939453125,153,-76,10
28129685,-9.816226806640625,-0.023942016601562498,0.17238251953125,153,-76,10
28129695,-9.86411083984375,-0.0909796630859375,0.24899697265624998,152,-75,0
28130434,-9.830592016601562,-0.06703764648437499,0.22505495605468748,153,-74,10
28130444,-9.787496386718749,-0.06703764648437499,0.2059013427734375,152,-75,11
28130454,-9.849745629882811,-0.076614453125,0.2442085693359375,153,-75,11
28130464,-9.86411083984375,-0.047884033203124995,0.2059013427734375,153,-75,10
28130474,-9.763554370117188,-0.047884033203124995,0.26815058593749996,153,-75,10
28130484,-9.80665,-0.08140285644531249,0.2537853759765625,152,-75,10
28130494,-9.859322436523437,-0.086191259765625,0.2154781494140625,152,-75,10
28130504,-9.787496386718749,-0.062249243164062495,0.239420166015625,152,-76,10
28130514,-9.811438403320311,-0.0718260498046875,0.21068974609375,153,-75,10
28130524,-9.821015209960937,-0.0383072265625,0.1867477294921875,152,-75,10
28130534,-9.873687646484374,-0.1149216796875,0.181959326171875,153,-75,10
28130544,-9.80665,-0.0909796630859375,0.229843359375,152,-75,11
28130554,-9.835380419921874,-0.033518823242187495,0.1867477294921875,153,-75,12
28130564,-9.811438403320311,-0.0718260498046875,0.2442085693359375,152,-75,11
